,No,State,Constituency,Candidate Name,Party,No of Criminal Cases,lat,lon
406,407,Bihar,Patna Sahib,Ravi Shankar Prasad,BJP,0,25.5859403,85.2306381
407,408,Telangana,Peddapalli,Venkatesh Netha Borlakunta,TRS,0,18.6177235,79.3868069
408,409,Tamil Nadu,Perambalur,"Dr.paarivendhar, T. R",DMK,2,11.2287716,78.81825554962782
409,410,Uttar Pradesh,Phulpur,Keshari Devi Patel,BJP,2,26.078108,82.87422
410,411,Uttar Pradesh,Pilibhit,Feroze Varun Gandhi,BJP,0,28.55,80.1
411,412,Tamil Nadu,Pollachi,Shanmugasundaram K,DMK,0,10.6588234,77.00873
412,413,Pondicherry,Pondicherry,Ve. Vaithilingam,INC,0,11.9340568,79.8306447
413,414,Kerala,Ponnani,E. T. Mohammed Basheer,IUML,0,10.7800691,75.9189338
414,415,Gujarat,Porbandar,Rameshbhai Lavjibhai Dhaduk,BJP,0,21.6409,69.611
415,416,Uttar Pradesh,Pratapgarh,Sangam Lal Gupta,BJP,2,25.75,81.75
416,417,Maharashtra,Pune,Girish Bhalchandra Bapat,BJP,1,18.521428,73.8544541
417,418,Odisha,Puri,Pinaki Misra,BJD,0,54.5129203,9.5483555
418,419,Bihar,Purnia,Santosh Kumar,JD(U),1,25.7773601,87.4731227
419,420,West Bengal,Purulia,Jyotirmay Singh Mahato,BJP,2,23.29614645,86.34210770023
420,421,Bihar,Purvi Champaran,Radha Mohan Singh,BJP,1,26.6098,84.8568
421,422,Uttar Pradesh,Rae Bareli,Sonia Gandhi,INC,1,26.2207738,81.2465203
422,423,Karnataka,Raichur,Raja Amareshwara Naik,BJP,0,16.083333,77.166667
423,424,Maharashtra,Raigad,Tatkare Sunil Dattatray,NCP,0,18.234608,73.4487721
424,425,West Bengal,Raiganj,Debasree Chaudhuri,BJP,2,25.6271966,88.1317967
425,426,Chhattisgarh,Raigarh,Gomati Sai,BJP,0,22.5,83.5
426,427,Chhattisgarh,Raipur,Sunil Kumar Soni,BJP,0,21.2379469,81.6336833
427,428,Andhra Pradesh,Rajahmundry,Margani Bharat,YSRCP,2,17.0050454,81.7804732
428,429,Andhra Pradesh,Rajampet,P.v.midhun Reddy,YSRCP,3,14.1935867,79.1585757
429,430,Madhya Pradesh,Rajgarh,Rodmal Nagar,BJP,0,23.833333,76.75
430,431,Gujarat,Rajkot,Kundaria Mohanbhai Kalyanjibhai,BJP,0,22.3051991,70.8028335
431,432,Jharkhand,Rajmahal,Vijay Kumar Hansdak,JMM,0,25.0548239,87.8283219
432,433,Chhattisgarh,Rajnandgaon,Santosh Pandey,BJP,0,21.166667,81.0
433,434,Rajasthan,Rajsamand,Diya Kumari,BJP,0,25.0585825,73.8880816
434,435,Tamil Nadu,Ramanathapuram,K. Navaskani,IUML,1,9.3895523,78.85907071521498
435,436,Uttar Pradesh,Rampur,Mohammad Azam Khan,SP,10,28.80594795,79.05886243540238
436,437,Maharashtra,Ramtek,Krupal Balaji Tumane,SHS,0,21.3935847,79.2999141
437,438,West Bengal,Ranaghat,Jagannath Sarkar,BJP,1,23.1738124,88.563677
438,439,Jharkhand,Ranchi,Sanjay Seth,BJP,0,23.3700354,85.3250132
439,440,Madhya Pradesh,Ratlam,Guman Singh Damor,BJP,0,23.583333,75.166667
440,441,Maharashtra,Ratnagiri - Sindhudurg,Vinayak Raut,SHS,3,16.9902,73.312
441,442,Maharashtra,Raver,Khadse Raksha Nikhil,BJP,0,21.2222313,76.0444182
442,443,Madhya Pradesh,Rewa,Janardan Mishra,BJP,0,24.75,81.5
443,444,Uttar Pradesh,Robertsganj,Pakauri Lal Kol,ADS,0,24.6897879,83.0653136
444,445,Haryana,Rohtak,Arvind Kumar Sharma,BJP,0,28.9010899,76.5801935
445,446,Gujarat,Sabarkantha,Rathod Dipsinh Shankarsinh,BJP,0,24.0294885,73.0459884
446,447,Madhya Pradesh,Sagar,Rajbahadur Singh,BJP,1,23.75,78.75
447,448,Uttar Pradesh,Saharanpur,Haji Fazlur Rehman,BSP,0,30.019648500000002,77.5929424528558
448,449,Tamil Nadu,Salem,Parthiban.s.r,DMK,4,37.293378,-80.054667
449,450,Uttar Pradesh,Salempur,Ravinder,BJP,0,26.2967211,83.921322
450,451,Bihar,Samastipur,Ramchandra Paswan,LJNSP,5,25.75,85.916667
451,452,Odisha,Sambalpur,Nitesh Ganga Deb,BJP,1,21.4,83.883333
452,453,Uttar Pradesh,Sambhal,Dr. Shafiqur Rehman Barq,SP,0,28.61875255,78.55087405404804
453,454,Maharashtra,Sangli,Sanjaykaka Patil,BJP,1,16.8502534,74.5948885
454,455,Punjab,Sangrur,Bhagwant Mann,AAAP,0,30.2432006,75.8358123
455,456,Uttar Pradesh,Sant Kabir Nagar,Praveen Kumar Nishad,BJP,0,26.7882737,82.9600798
456,457,Bihar,Saran,Rajiv Pratap Rudy,BJP,0,36.5474961,44.6383057
457,458,Chhattisgarh,Sarguja,Renuka Singh Saruta,BJP,0,22.9494,83.1649
458,459,Bihar,Sasaram,Chhedi Paswan,BJP,0,24.9509656,84.0148733
459,460,Maharashtra,Satara,Shrimant Chh. Udayanraje Pratapasinhmaharaj Bhonsle,NCP,8,17.646833649999998,73.97025221467771
460,461,Madhya Pradesh,Satna,Ganesh Singh,BJP,2,24.5,81.0
461,462,Telangana,Secundrabad,G . Kishan Reddy,BJP,0,17.4401041,78.499527
462,463,Madhya Pradesh,Shahdol,Himadri Singh,BJP,0,23.3002343,81.364771
463,464,Uttar Pradesh,Shahjahanpur,Arun Kumar Sagar,BJP,1,27.828772649999998,79.82471527340707
464,465,Bihar,Sheohar,Rama Devi,BJP,1,26.515751299999998,85.28489531057673
465,466,Meghalaya,Shillong,Vincent H. Pala,INC,0,25.5760446,91.8825282
466,467,Himachal Pradesh,Shimla,Suresh Kumar Kashyap,BJP,0,31.1041526,77.1709729
467,468,Karnataka,Shimoga,B.y.raghavendra.,BJP,2,13.9311723,75.569737
